feature_name,setup_impact,preferred_analysis_mode,preferred_analysis_budget,preferred_match_mode,runtime_policy,notes
0x88,conditional,FixedDepth,MediumDepth by default,FixedMoveTime,Use more conservative depth targets than the faster bitboard backends.,"These representations are valid, but the current implementation is not the fastest one for large depth targets."
10x12 Board,conditional,FixedDepth,MediumDepth by default,FixedMoveTime,Use more conservative depth targets than the faster bitboard backends.,"These representations are valid, but the current implementation is not the fastest one for large depth targets."
Alpha-Beta,primary,FixedDepth,Deeper depth bands become meaningful (9+ when stacked together),FixedMoveTime or ClockManaged,These features pay off more under time-based or deeper fixed-depth setups.,They are search-strength multipliers and should move the setup toward deeper or time-aware operation.
Aspiration Windows,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Bishop Pair,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Bitboards,conditional,FixedDepth,DeepDepth is realistic on these faster backends,FixedMoveTime or ClockManaged,Faster backends justify larger depth targets.,Backend speed affects how ambitious the runtime budget can be.
Castling,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Connected Pawn,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Copy-Make,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Delta Pruning,conditional,FixedDepth,DeepDepth (9+) once the base search stack is stable,FixedMoveTime or ClockManaged,Do not rely on these to compensate for weak base search settings.,"Selective pruning is most useful when the surrounding alpha-beta, TT, and move-ordering infrastructure is already strong."
Doubled Pawn,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
En Passant,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Evaluation,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
FEN,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Fifty-Move Rule,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Futility Pruning,conditional,FixedDepth,DeepDepth (9+) once the base search stack is stable,FixedMoveTime or ClockManaged,Do not rely on these to compensate for weak base search settings.,"Selective pruning is most useful when the surrounding alpha-beta, TT, and move-ordering infrastructure is already strong."
Hash Move,conditional,FixedDepth or FixedMoveTime,MediumDepth to DeepDepth depending on the rest of the stack,FixedMoveTime or ClockManaged,These features become more valuable as the search budget grows.,They are setup-sensitive because their practical benefit appears more clearly at larger search budgets.
History Heuristic,conditional,FixedDepth or FixedMoveTime,MediumDepth to DeepDepth depending on the rest of the stack,FixedMoveTime or ClockManaged,These features become more valuable as the search budget grows.,They are setup-sensitive because their practical benefit appears more clearly at larger search budgets.
Isolated Pawn,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Iterative Deepening,primary,FixedDepth,Deeper depth bands become meaningful (9+ when stacked together),ClockManaged,These features pay off more under time-based or deeper fixed-depth setups.,They are search-strength multipliers and should move the setup toward deeper or time-aware operation.
Killer Heuristic,conditional,FixedDepth or FixedMoveTime,MediumDepth to DeepDepth depending on the rest of the stack,FixedMoveTime or ClockManaged,These features become more valuable as the search budget grows.,They are setup-sensitive because their practical benefit appears more clearly at larger search budgets.
King Activity,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
King Pressure,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
King Shelter,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Late Move Reductions,conditional,FixedDepth,DeepDepth (9+) once the base search stack is stable,FixedMoveTime or ClockManaged,Do not rely on these to compensate for weak base search settings.,"Selective pruning is most useful when the surrounding alpha-beta, TT, and move-ordering infrastructure is already strong."
Legal Move Generation,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Magic Bitboards,conditional,FixedDepth,DeepDepth is realistic on these faster backends,FixedMoveTime or ClockManaged,Faster backends justify larger depth targets.,Backend speed affects how ambitious the runtime budget can be.
Mailbox,conditional,FixedDepth,MediumDepth by default,FixedMoveTime,Use more conservative depth targets than the faster bitboard backends.,"These representations are valid, but the current implementation is not the fastest one for large depth targets."
Make Move,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Minimax,primary,FixedDepth,ShallowDepth (3-4),FixedMoveTime,Avoid deep fixed-depth tournaments; prefer small exact budgets.,"Tree growth is explosive without alpha-beta pruning, so setup must stay conservative."
Mobility,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Move Generation,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Move Ordering,conditional,FixedDepth or FixedMoveTime,MediumDepth to DeepDepth depending on the rest of the stack,FixedMoveTime or ClockManaged,These features become more valuable as the search budget grows.,They are setup-sensitive because their practical benefit appears more clearly at larger search budgets.
Negamax,primary,FixedDepth,MediumDepth (5-8) unless refined by Alpha-Beta/PVS/TT,FixedMoveTime,Negamax alone does not justify aggressive time controls.,"Search-core symmetry helps, but setup strength really increases once alpha-beta and ordering features are present."
Null Move Pruning,conditional,FixedDepth,DeepDepth (9+) once the base search stack is stable,FixedMoveTime or ClockManaged,Do not rely on these to compensate for weak base search settings.,"Selective pruning is most useful when the surrounding alpha-beta, TT, and move-ordering infrastructure is already strong."
Opening Book,primary,FixedDepth or FixedMoveTime,Disable during analysis/perft,FixedMoveTime or ClockManaged,"Enable in match play, usually with the default book first; disable in perft and search analysis.",Book usage is a runtime operational choice layered on top of the compile-time Opening Book feature.
Passed Pawn,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Pawn Hash Table,conditional,FixedDepth or FixedMoveTime,MediumDepth to DeepDepth depending on the rest of the stack,FixedMoveTime or ClockManaged,These features become more valuable as the search budget grows.,They are setup-sensitive because their practical benefit appears more clearly at larger search budgets.
Piece Lists,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Piece-Square Tables,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Pondering,primary,FixedDepth or FixedMoveTime,Disable during one-shot analysis and perft,ClockManaged,Enable only when the GUI supports go ponder / ponderhit and the time control is long enough.,Pondering is runtime-visible but only useful in end-to-end GUI match contexts.
Principal Variation Search,primary,FixedDepth,Deeper depth bands become meaningful (9+ when stacked together),FixedMoveTime or ClockManaged,These features pay off more under time-based or deeper fixed-depth setups.,They are search-strength multipliers and should move the setup toward deeper or time-aware operation.
Pseudo-Legal Move Generation,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Quiescence Search,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Razoring,conditional,FixedDepth,DeepDepth (9+) once the base search stack is stable,FixedMoveTime or ClockManaged,Do not rely on these to compensate for weak base search settings.,"Selective pruning is most useful when the surrounding alpha-beta, TT, and move-ordering infrastructure is already strong."
Replacement Schemes,conditional,FixedDepth or FixedMoveTime,MediumDepth to DeepDepth depending on the rest of the stack,FixedMoveTime or ClockManaged,These features become more valuable as the search budget grows.,They are setup-sensitive because their practical benefit appears more clearly at larger search budgets.
Rook on Open File,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Rook Semi-Open File,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Static Exchange Evaluation,conditional,FixedDepth or FixedMoveTime,MediumDepth to DeepDepth depending on the rest of the stack,FixedMoveTime or ClockManaged,These features become more valuable as the search budget grows.,They are setup-sensitive because their practical benefit appears more clearly at larger search budgets.
Tapered Eval,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Threefold Repetition,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Time Management,primary,FixedMoveTime or ClockManaged,Medium to long exact budgets or full clock-managed play,ClockManaged,Prefer real time controls with increment and movestogo when available.,This is the main feature that justifies using clock-derived budgets instead of exact movetime.
Transposition Table,conditional,FixedDepth or FixedMoveTime,MediumDepth to DeepDepth depending on the rest of the stack,FixedMoveTime or ClockManaged,These features become more valuable as the search budget grows.,They are setup-sensitive because their practical benefit appears more clearly at larger search budgets.
UCI,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Unmake Move,none,Inherit variant profile,No direct setup-specific change,Inherit variant profile,No direct runtime setup knob beyond the surrounding variant profile.,This feature mainly changes engine behavior internally rather than introducing a separate setup policy.
Zobrist Hashing,conditional,FixedDepth or FixedMoveTime,MediumDepth to DeepDepth depending on the rest of the stack,FixedMoveTime or ClockManaged,These features become more valuable as the search budget grows.,They are setup-sensitive because their practical benefit appears more clearly at larger search budgets.
