bucket,representative_role,variant_name,score_pct,board_family,search_tier,eval_tier,perft6_sec,source_kind
strong,top_strong,stratified_variant_28,93.5,0x88,minimax,structural_eval,1.582,random_sample
strong,median_strong,phase2_10x12_ab_pvs_id,93.3,10x12 Board,pvs_id,pst_eval,1.745,control
strong,lowest_strong,phase3_full_eval,93.3,Bitboards,pvs_id,rich_eval,3.285,control
mid,upper_mid,stratified_variant_31,86.8,Mailbox,minimax,structural_eval,1.759,random_sample
mid,median_mid,stratified_variant_72,80.8,Mailbox,minimax,rich_eval,2.575,random_sample
mid,lower_mid,stratified_variant_02,75.0,Bitboards,pruning_full,structural_eval,3.112,random_sample
weak,boundary_weak,stratified_variant_27,73.6,10x12 Board,pvs_id,rich_eval,1.998,random_sample
weak,median_weak,stratified_variant_29,34.4,Mailbox,alpha_beta,structural_eval,2.343,random_sample
weak,extreme_weak,stratified_variant_98,2.4,0x88,minimax,rich_eval,2.808,random_sample
